policy,trial_id,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
five_hour_first,47,2,9,3744,2467,1277,2668,1710,0,0,0.0,1.0,0.671477041927754
seven_day_first,47,2,9,3868,2467,1401,2724,1680,0,0,0.0,1.0,0.6506431399168143
weighted_score,47,2,9,3777,2467,1310,2736,1752,0,0,0.0,1.0,0.6673024399760321
reset_aware_weekly_priority,47,2,9,3956,2467,1489,2771,1651,0,0,0.0,1.0,0.6354802411514023
five_hour_first,48,7,15,16036,12696,3340,11964,9463,0,0,0.0,1.0,0.8019420936376938
seven_day_first,48,7,15,15872,12696,3176,12011,9513,173,173,0.0,1.0,0.807935429988908
weighted_score,48,7,15,15964,12696,3268,12059,9400,105,99,0.0,1.0,0.7930063491837241
reset_aware_weekly_priority,48,7,15,16216,12696,3520,12182,9315,142,125,0.0,1.0,0.7712567524660466
five_hour_first,49,7,10,7792,7792,0,5671,5671,0,0,0.08237097301610034,0.6813581929090234,0.9598987219892924
seven_day_first,49,7,10,7952,7952,0,5765,5765,0,0,0.002988105048923761,0.6775366155383576,0.9674548510489435
weighted_score,49,7,10,8039,8039,0,5828,5828,0,0,0.029870542214431126,0.6880412741908676,0.9658170731976438
reset_aware_weekly_priority,49,7,10,8068,8068,0,5749,5749,0,0,0.042768973053702676,0.6905086779058608,0.9647739704852158
five_hour_first,50,2,4,2918,2373,545,2188,1727,0,0,0.0,1.0,0.8165860923750083
seven_day_first,50,2,4,2954,2373,581,2249,1750,0,0,0.0,1.0,0.8068531775049047
weighted_score,50,2,4,2927,2373,554,2236,1760,0,0,0.0,1.0,0.8142893595070997
reset_aware_weekly_priority,50,2,4,2870,2373,497,2091,1678,0,0,0.0,1.0,0.8294021999043519
five_hour_first,51,8,13,5587,5587,0,4106,4106,0,0,0.03608237811801904,0.3955671800940124,0.9359484801975995
seven_day_first,51,8,13,5389,5389,0,4072,4072,0,0,0.001292672127002842,0.37658070779786595,0.9375288035670863
weighted_score,51,8,13,5326,5326,0,3972,3972,0,0,0.027307961904488313,0.37366600393303306,0.9346358042028545
reset_aware_weekly_priority,51,8,13,5432,5432,0,4032,4032,0,0,0.048022912020016656,0.3813832877156719,0.9333360375695655
five_hour_first,52,7,13,7010,7010,0,4616,4616,0,0,0.09516876591292622,0.6515245985849655,0.955635583267204
