policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,peak_useful_five_hour,weekly_drift,mean_seven_day_utilization,objective_score
five_hour_first,23,focused,staggered_reset,2,16,15394,4141,11253,11703,2885,732,18,0.18647959183673468,0.0,1.0,0.17352351427435075
seven_day_first,23,focused,staggered_reset,2,16,15532,4141,11391,11759,2878,2065,539,0.1532312925170068,0.0,1.0,0.19456238972643664
weighted_score,23,focused,staggered_reset,2,16,15302,4141,11161,11407,2846,1025,302,0.16335034013605443,0.0,1.0,0.20412422535059485
reset_aware_weekly_priority,23,focused,staggered_reset,2,16,15708,4141,11567,11744,2891,1475,259,0.17244897959183675,0.0,1.0,0.18596015140243674
reset_stagger_pressure,23,focused,staggered_reset,2,16,15759,4141,11618,11885,2921,808,41,0.17891156462585034,0.0,1.0,0.17136425152127474
reset_near_expiry_reserve,23,focused,staggered_reset,2,16,15150,4141,11009,11505,2903,747,58,0.1761904761904762,0.0,1.0,0.18267193474961493
five_hour_first,24,focused,staggered_reset,2,17,48218,3408,44810,41454,1975,3697,9,0.030272108843537416,0.0,1.0,-0.036750402891830514
seven_day_first,24,focused,staggered_reset,2,17,48055,3408,44647,41172,2017,7461,489,0.030612244897959183,0.0,1.0,-0.028570643827932285
weighted_score,24,focused,staggered_reset,2,17,48196,3408,44788,41204,1974,4097,206,0.02848639455782313,0.0,1.0,-0.031195120003772336
reset_aware_weekly_priority,24,focused,staggered_reset,2,17,48527,3408,45119,41410,1930,4416,268,0.02576530612244898,0.0,1.0,-0.03107086668350803
reset_stagger_pressure,24,focused,staggered_reset,2,17,48744,3408,45336,41729,1959,4004,85,0.02848639455782313,0.0,1.0,-0.03546288920240326
reset_near_expiry_reserve,24,focused,staggered_reset,2,17,48562,3408,45154,41557,2004,4059,162,0.02848639455782313,0.0,1.0,-0.032675379251150855
five_hour_first,25,focused,same_reset,3,22,50903,4936,45967,41110,2923,4121,15,0.05413832199546447,0.0,1.0,-0.009449883216715277
seven_day_first,25,focused,same_reset,3,22,51757,4936,46821,41581,2908,7260,669,0.038208616780045536,0.0,1.0,-0.0027194133982504642
weighted_score,25,focused,same_reset,3,22,51543,4936,46607,41485,2915,4724,216,0.04603174603174603,0.0,1.0,-0.006694021888326435
reset_aware_weekly_priority,25,focused,same_reset,3,22,51565,4936,46629,41273,2853,5301,70,0.05402494331065737,0.0,1.0,-0.009685091136891338
reset_stagger_pressure,25,focused,same_reset,3,22,51310,4936,46374,41122,2896,4278,75,0.05306122448979557,0.0,1.0,-0.008635306027383743
reset_near_expiry_reserve,25,focused,same_reset,3,22,51432,4936,46496,41215,2933,4306,147,0.04960317460317459,0.0,1.0,-0.0071156038622338935
five_hour_first,26,focused,staggered_reset,2,22,56827,3302,53525,45372,1800,6941,13,0.019387755102040816,0.0,1.0,-0.04874576158638319
seven_day_first,26,focused,staggered_reset,2,22,57011,3302,53709,45729,1809,12190,457,0.02108843537414966,0.0,1.0,-0.0443497769738638
weighted_score,26,focused,staggered_reset,2,22,56867,3302,53565,45626,1826,7303,252,0.02185374149659864,0.0,1.0,-0.04435583272361632
reset_aware_weekly_priority,26,focused,staggered_reset,2,22,57702,3302,54400,46404,1801,8746,116,0.02040816326530612,0.0,1.0,-0.048020183570313346
reset_stagger_pressure,26,focused,staggered_reset,2,22,56442,3302,53140,45478,1797,6977,132,0.01904761904761905,0.0,1.0,-0.04655641008824887
reset_near_expiry_reserve,26,focused,staggered_reset,2,22,56719,3302,53417,45596,1840,7048,119,0.01989795918367347,0.0,1.0,-0.04658946427966651
five_hour_first,27,focused,same_reset,3,27,26166,3803,22363,19258,2126,2413,23,0.037358276643991245,0.0,1.0,0.030351427771044215
seven_day_first,27,focused,same_reset,3,27,26408,3803,22605,19723,2114,5197,765,0.03594104308390057,0.0,1.0,0.044855777935788155
weighted_score,27,focused,same_reset,3,27,26347,3803,22544,19694,2147,3218,434,0.032936507936508194,0.0,1.0,0.04365174081631801
reset_aware_weekly_priority,27,focused,same_reset,3,27,26377,3803,22574,19660,2114,3998,659,0.03208616780045368,0.0,1.0,0.04656282656751601
reset_stagger_pressure,27,focused,same_reset,3,27,26103,3803,22300,19685,2151,2626,191,0.035374149659864206,0.0,1.0,0.03749835403632809
reset_near_expiry_reserve,27,focused,same_reset,3,27,26548,3803,22745,19737,2140,2659,187,0.03327664399092991,0.0,1.0,0.03510624234348783
five_hour_first,28,focused,staggered_reset,3,30,52250,5343,46907,42618,3049,7619,16,0.028458049886621452,0.0,1.0,-0.010331756842421547
seven_day_first,28,focused,staggered_reset,3,30,52398,5343,47055,42833,3050,12015,767,0.025566893424036292,0.0,1.0,-0.0036657233272068546
weighted_score,28,focused,staggered_reset,3,30,52021,5343,46678,42596,3119,8240,322,0.025226757369614494,0.0,1.0,-0.005628263718634979
reset_aware_weekly_priority,28,focused,staggered_reset,3,30,52083,5343,46740,42282,3078,10060,336,0.02675736961451253,0.0,1.0,-0.0062683090533595665
reset_stagger_pressure,28,focused,staggered_reset,3,30,52597,5343,47254,42733,3096,9920,340,0.025283446712018157,0.0,1.0,-0.0071248672483713305
reset_near_expiry_reserve,28,focused,staggered_reset,3,30,52485,5343,47142,42969,3056,9592,605,0.027097505668934284,0.0,1.0,-0.0036429605801575338
five_hour_first,29,focused,staggered_reset,3,32,37583,4812,32771,28766,2927,2114,12,0.05708616780045277,0.0,1.0,0.019723280128637055
seven_day_first,29,focused,staggered_reset,3,32,37794,4812,32982,28926,2859,5380,1002,0.04614512471655355,0.0,1.0,0.03832370112239791
weighted_score,29,focused,staggered_reset,3,32,37432,4812,32620,28437,2906,2930,359,0.04920634920634916,0.0,1.0,0.03293625784657389
reset_aware_weekly_priority,29,focused,staggered_reset,3,32,37441,4812,32629,28508,2887,3895,523,0.05277777777777737,0.0,1.0,0.03462212461417491
reset_stagger_pressure,29,focused,staggered_reset,3,32,37455,4812,32643,28789,2907,3437,505,0.048979591836734615,0.0,1.0,0.035415195163517016
reset_near_expiry_reserve,29,focused,staggered_reset,3,32,37454,4812,32642,28786,2835,3083,370,0.046258503401360805,0.0,1.0,0.031004641416556844
five_hour_first,30,focused,same_reset,3,20,31073,5051,26022,22451,2911,2131,15,0.059920634920634305,0.0,1.0,0.05011269314007982
